timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2024-07-04T00:00:00.000Z";"2024-07-04T23:59:59.999Z";"2024-07-04T00:43:00.000Z";"2024-07-04T23:59:00.000Z";"2781";140.7153248502;142.514857984;127.5508228695;127.5508228695;3243822145.02;59041357959.26;"2024-07-04T23:59:59.999Z"
"2024-07-03T00:00:00.000Z";"2024-07-03T23:59:59.999Z";"2024-07-03T00:25:00.000Z";"2024-07-03T21:22:00.000Z";"2781";153.71113289;154.1979942757;139.5172640934;140.7314159023;2813419414.99;65126155301.37;"2024-07-03T23:59:59.999Z"
"2024-07-02T00:00:00.000Z";"2024-07-02T23:59:59.999Z";"2024-07-02T23:22:00.000Z";"2024-07-02T00:20:00.000Z";"2781";146.5885465113;154.7129737996;146.120545793;153.7004815904;2024773532.57;71128871115.97;"2024-07-02T23:59:59.999Z"
"2024-07-01T00:00:00.000Z";"2024-07-01T23:59:59.999Z";"2024-07-01T16:04:00.000Z";"2024-07-01T11:55:00.000Z";"2781";146.4812747584;148.7985062013;145.8228012212;146.5950647859;1814659116.18;67824193216.32;"2024-07-01T23:59:59.999Z"
"2024-06-30T00:00:00.000Z";"2024-06-30T23:59:59.999Z";"2024-06-30T22:40:00.000Z";"2024-06-30T05:16:00.000Z";"2781";140.0127239625;147.199323059;137.141370949;146.4924977253;1567841881.26;67754180754.1;"2024-06-30T23:59:59.999Z"
"2024-06-29T00:00:00.000Z";"2024-06-29T23:59:59.999Z";"2024-06-29T10:37:00.000Z";"2024-06-29T22:50:00.000Z";"2781";139.7193179302;142.8238572364;139.6678050752;140.0101495169;1139066175.44;64751313558.76;"2024-06-29T23:59:59.999Z"
"2024-06-28T00:00:00.000Z";"2024-06-28T23:59:59.999Z";"2024-06-28T01:40:00.000Z";"2024-06-28T21:13:00.000Z";"2781";149.4542650682;150.0515859353;139.3058926068;139.7034025374;2396070691.73;64591177828.11;"2024-06-28T23:59:59.999Z"
"2024-06-27T00:00:00.000Z";"2024-06-27T23:59:59.999Z";"2024-06-27T14:28:00.000Z";"2024-06-27T06:49:00.000Z";"2781";136.6134234881;150.7672121567;135.2449996386;149.4483747681;2831651846.42;69097889910.92;"2024-06-27T23:59:59.999Z"
"2024-06-26T00:00:00.000Z";"2024-06-26T23:59:59.999Z";"2024-06-26T02:19:00.000Z";"2024-06-26T17:22:00.000Z";"2781";136.5549703785;140.168755188;134.9257618472;136.6091530527;1670038553.72;63146576878.44;"2024-06-26T23:59:59.999Z"
"2024-06-25T00:00:00.000Z";"2024-06-25T23:59:59.999Z";"2024-06-25T15:36:00.000Z";"2024-06-25T01:37:00.000Z";"2781";132.2693477713;139.7295834353;131.2963588669;136.5591975573;2517391149.87;63124626804.31;"2024-06-25T23:59:59.999Z"
"2024-06-24T00:00:00.000Z";"2024-06-24T23:59:59.999Z";"2024-06-24T23:53:00.000Z";"2024-06-24T05:46:00.000Z";"2781";128.5980031878;132.3112280664;123.6693360232;132.2413922983;3420423300.8;61113437383.95;"2024-06-24T23:59:59.999Z"
"2024-06-23T00:00:00.000Z";"2024-06-23T23:59:59.999Z";"2024-06-23T00:38:00.000Z";"2024-06-23T23:43:00.000Z";"2781";133.6600098263;135.0058628289;128.2696997003;128.5904268043;1063910411.48;59426910196.83;"2024-06-23T23:59:59.999Z"
"2024-06-22T00:00:00.000Z";"2024-06-22T23:59:59.999Z";"2024-06-22T06:20:00.000Z";"2024-06-22T00:54:00.000Z";"2781";134.5676516917;136.4600495647;133.1424875274;133.6702445713;948392979.45;61755643846.7;"2024-06-22T23:59:59.999Z"
