Brazil,Serie A,2023,21/05/2023,22:30,Gremio,Internacional,3,1,H,2.05,3.36,4.1,2.21,3.4,4.2,2.02,3.26,3.85
Brazil,Serie A,2023,23/05/2023,0:00,Cruzeiro,Cuiaba,0,1,A,1.64,3.77,6.45,1.64,4.1,7,1.58,3.75,6.27
Brazil,Serie A,2023,27/05/2023,20:00,Athletico-PR,Gremio,1,2,A,1.64,4,5.9,1.83,4,6.2,1.64,3.74,5.51
Brazil,Serie A,2023,27/05/2023,20:00,Fortaleza,Vasco,2,0,H,1.68,4.03,5.3,1.72,4.1,5.4,1.66,3.89,5.05
Brazil,Serie A,2023,27/05/2023,22:30,Cuiaba,Coritiba,1,1,D,1.89,3.44,4.74,1.9,3.57,5,1.85,3.3,4.65
Brazil,Serie A,2023,27/05/2023,22:30,Flamengo RJ,Cruzeiro,1,1,D,1.7,3.77,5.63,1.73,4.03,5.63,1.68,3.7,5.11
Brazil,Serie A,2023,28/05/2023,1:00,Sao Paulo,Goias,2,1,H,1.57,3.91,7.17,1.62,4.37,7.5,1.55,3.89,6.45
Brazil,Serie A,2023,28/05/2023,20:00,Corinthians,Fluminense,2,0,H,2.81,3.19,2.79,2.86,3.29,2.89,2.71,3.09,2.71
Brazil,Serie A,2023,28/05/2023,20:00,Internacional,Bahia,2,0,H,2.12,3.52,3.67,2.12,3.64,3.85,2.05,3.44,3.59
Brazil,Serie A,2023,28/05/2023,22:30,Atletico-MG,Palmeiras,1,1,D,2.29,3.3,3.43,2.53,3.4,3.47,2.25,3.23,3.28
Brazil,Serie A,2023,28/05/2023,22:30,Bragantino,Santos,2,0,H,1.78,3.52,5.46,1.87,3.56,5.6,1.76,3.41,5.07
Brazil,Serie A,2023,28/05/2023,23:00,Botafogo RJ,America MG,2,0,H,1.83,3.72,4.7,1.87,3.8,5.37,1.79,3.59,4.49
Brazil,Serie A,2023,3/6/2023,20:00,Fortaleza,Bahia,0,0,D,1.61,4.02,6.12,1.73,4.1,6.19,1.6,3.88,5.68
Brazil,Serie A,2023,3/6/2023,22:30,America MG,Corinthians,2,0,H,2.93,3.14,2.72,3,3.34,2.97,2.8,3.08,2.65
Brazil,Serie A,2023,3/6/2023,22:30,Athletico-PR,Botafogo RJ,1,0,H,1.99,3.5,4.16,2.16,3.66,4.16,2.05,3.34,3.69
Brazil,Serie A,2023,3/6/2023,22:30,Cruzeiro,Atletico-MG,0,1,A,3.53,3.11,2.37,3.67,3.23,2.41,3.32,3.06,2.32
Brazil,Serie A,2023,4/6/2023,1:00,Santos,Internacional,1,1,D,2.52,2.88,3.54,2.52,3.14,3.85,2.36,2.88,3.46
Brazil,Serie A,2023,4/6/2023,20:00,Fluminense,Bragantino,2,1,H,1.77,3.73,4.99,1.8,3.86,5.42,1.74,3.69,4.66
Brazil,Serie A,2023,4/6/2023,20:00,Gremio,Sao Paulo,2,1,H,2.09,3.32,4.01,2.25,3.42,4.01,2.09,3.25,3.67
Brazil,Serie A,2023,4/6/2023,22:30,Goias,Cuiaba,0,1,A,2.35,3.02,3.68,2.35,3.17,3.9,2.26,2.99,3.53
Brazil,Serie A,2023,4/6/2023,22:30,Palmeiras,Coritiba,3,1,H,1.29,5.88,11.94,1.3,6.16,14.22,1.27,5.51,11.53
Brazil,Serie A,2023,6/6/2023,0:00,Vasco,Flamengo RJ,1,4,A,4.27,3.69,1.91,4.31,3.74,1.94,4.06,3.56,1.87
Brazil,Serie A,2023,10/6/2023,20:00,Coritiba,Santos,0,0,D,2.57,2.96,3.32,2.62,3.02,3.32,2.53,2.89,3.12
Brazil,Serie A,2023,10/6/2023,22:30,Atletico-MG,Bragantino,1,1,D,1.82,3.43,5.3,1.84,3.67,5.4,1.79,3.39,4.87
Brazil,Serie A,2023,10/6/2023,22:30,Bahia,Cruzeiro,2,2,D,2.87,3.27,2.68,2.87,3.32,2.75,2.77,3.17,2.6
Brazil,Serie A,2023,10/6/2023,22:30,Corinthians,Cuiaba,1,1,D,1.82,3.29,5.68,1.82,3.46,6.2,1.74,3.26,5.57
Brazil,Serie A,2023,11/6/2023,1:00,Botafogo RJ,Fortaleza,2,0,H,2.27,3.25,3.59,2.28,3.35,3.71,2.21,3.2,3.39
Brazil,Serie A,2023,11/6/2023,15:00,America MG,Athletico-PR,2,2,D,2.65,3.28,2.9,2.66,3.37,3.08,2.53,3.18,2.85
Brazil,Serie A,2023,11/6/2023,20:00,Internacional,Vasco,2,1,H,1.83,3.55,4.98,1.9,3.61,5.21,1.8,3.41,4.68
Brazil,Serie A,2023,11/6/2023,20:00,Sao Paulo,Palmeiras,0,2,A,3.19,3.25,2.47,3.24,3.46,2.47,3.06,3.21,2.37
